content,catile
"We do not share toothbrushes.
We do not share straws.
We do not share tissues.
We do not share hairbrushes.
We do not share gum.
We do not share answers.
We do not share secrets.
We do share Buddy!",19.0
"You can go over.
You can go under.
You can go around.
You can go through.
You can go forward.
You can go backward.
You can go across.
I can go with you.",-157.0
"This bird is green.
This bird is yellow.
This bird is red.
This bird is blue.
This bird is purple.
This bird is pink.
This bird is brown.
This bird is orange.
This bird is gray.
This bird is many colors.",-27.0
"I draw the ears.
I draw the nose.
I draw the eyes.
I draw the body.
I draw the teeth.
I draw the feet.
I draw the tail.
I draw a bunny!",-60.0
"Here is my room.
Here is my bed.
Here is my desk.
Here is my fish.
Here are my books.
Here are my toys.
Here are my shoes.
Here are my clothes.",-55.0
"See leaves in spring.
See leaves in fall.
See birds in spring.
See birds in fall.
See corn in spring.
See corn in fall.
See me in spring.
See me in fall!",11.0
"Dogs make me happy.
Cats make me happy.
Bubbles make me happy.
Trains make me happy.
Swings make me happy.
Flowers make me happy.
Books make me happy.
Friends make me happy!",-44.0
"Eleven cards.
Eleven balloons.
Eleven hats.
Eleven pizzas.
Eleven cupcakes.
Eleven presents.
Eleven candy bars.
Eleven friends.",11.0
"The ticket.
The pilot.
The bag.
The seat.
The window.
The snack.
The sky.
The airplane.",-19.0
"Out of the car.
Out of the wagon.
Out of the boat.
Out of the house.
Out of the water.
Out of the grass.
Out of the mud.
Out of the bathtub.",-64.0
"The cat.
The dog.
The bunny.
The bird.
The goldfish.
The mouse.
The turtle.
The hamster.",-28.0
"This field.
This base.
This bat.
This baseball.
This hat.
This helmet.
This uniform.
This team.",3.0
"The door.
The room.
The books.
The helpers.
The chair.
The story.
The snacks.
The bookstore.",-29.0
"The clothes.
The suitcase.
The map.
The car.
The seat belt.
The dog.
The book.
The grandparents.",4.0
"Water.
The ocean.
The lake.
The river.
The rain.
The snow.
The ice.
Water.",-46.0
"We swim at the beach.
We dig at the beach.
We run at the beach.
We eat at the beach.
We play at the beach.
We fly kites at the beach.
We find shells at the beach.
We build castles at the beach.",7.0
"One crow landed on the wire.
Another crow landed on the wire.
Two crows landed on the wire.
Another crow landed on the wire.
Three crows landed on the wire.
Another crow landed on the wire.
More crows landed on the wire.
All the crows flew away!",36.0
"Are these balloons high or low?
Are these slides high or low?
Are these birds high or low?
Are these boards high or low?
Are these kites high or low?
Are these hoops high or low?
Are these cats high or low?
Are these people high or low?",-8.0
"I make a drawing.
I make a hat.
I make a flower.
I make a chain.
I make an airplane.
I make a painting.
I make a mess!
I love art class!",-3.0
"I read with my mom.
I read with my dad.
I read with my grandma.
I read with my grandpa.
I read with my aunt.
I read with my sister.
I read with my brother.
I read to my dog.",-27.0
"My superhero needs a mask.
My superhero needs a cape.
My superhero needs a muscle.
My superhero needs a car.
My superhero needs a power.
My superhero needs a friend.
My superhero needs a name.
My superhero saves the day!",20.0
"Cat zooms past the door.
Cat zooms past the car.
Cat zooms past the yard.
Cat zooms past the fence.
Cat zooms past the tree.
Cat zooms past the dog.
Cat zooms past the boy.
Cat needs a long nap!",-3.0
"I rake the leaves for Grandma.
I rake the orange leaves.
I rake the brown leaves.
I rake the gold leaves.
I rake the red leaves.
I rake the big leaves.
I rake the small leaves.
There are too many leaves!",17.0
"I draw for Mom.
I cook for Mom.
I sing for Mom.
I clean for Mom.
I carry for Mom.
I smile for Mom.
I read for Mom.
I sleep for Mom.",-45.0
"Fruits can be red.
Fruits can be green.
Fruits can be yellow.
Fruits can be orange.
Fruits can be purple.
Fruits can be pink.
Can fruits be blue?
Yes, they can!",8.0
"I put on my shirt.
I put on my pants.
I put on my belt.
I put on my socks.
I put on my shoes.
I put on my glasses.
I put on my jacket.
I put on my backpack.",-77.0
"Things can be hot or cold.
A place can be hot.
A place can be cold.
Food can be hot.
Food can be cold.
People can be hot.
People can be cold.
cold Things can be hot or cold.",42.0
"The dogs go in.
The dogs go out.
The cats go in.
The cats go out.
The cows go in.
The cows go out.
The pigs go in.
Oh boy, mud.",-108.0
"My hair is curly.
My hair is straight.
My hair is black.
My hair is blond.
My hair is braided.
My hair is short.
My hair is long.
What is your hair like?",-39.0
"Smile at your dog.
Smile at your brother.
Smile at your sister.
Smile at your mom.
Smile at your dad.
Smile at your friend.
Smile at your teacher.
Smile at yourself.",-24.0
"This snake is white.
This snake is yellow.
This snake is orange.
This snake is blue.
This snake is green.
This snake is pink.
This snake is red.
This snake is black.",-44.0
"The dog.
The pig.
The chicken.
The goat.
The cow.
The duck.
The sheep.
The animals.",-47.0
"Five cups.
Five plates.
Five bowls.
Five forks.
Five spoons.
Five pans.
Five chairs.
Five lunches.",-12.0
"In the car.
In the wagon.
In the boat.
In the house.
In the water.
In the grass.
In the mud.
In the bathtub.",-57.0
"The farmer.
The tractor.
The tree.
The basket.
The ladder.
The friends.
The wagon.
The apples.",-5.0
"Summer hats.
Summer shoes.
Summer cups.
Summer plates.
Summer foods.
Summer sun.
Summer picnics.
Summer fun.",-56.0
"The cars.
The buses.
The stores.
The park.
The big buildings.
The people.
The noise.",16.0
"The gate.
The swing.
The slide.
The sandbox.
The ladder.
The bridge.
The wheel.
The playground.",1.0
"The air feels cold today.
The car feels cold today.
The tree feels cold today.
The fence feels cold today.
The mailbox feels cold today.
The mail feels cold today.
The door handle feels cold today.
The hot chocolate feels good today!",17.0
"I tried catching one Monday.
I tried catching one Tuesday.
I tried catching one Wednesday.
I tried catching one Thursday.
I tried catching one Friday.
I tried catching one Saturday.
I tried catching one Sunday.
I caught one and let it go.",-31.0
"Wood comes from trees.
Chairs can be made of wood.
Puzzles can be made of wood.
Houses can be made of wood.
Bridges can be made of wood.
Boats can be made of wood.
Fences can be made of wood.
Toys can be made of wood.",14.0
"There is a mouse in the house.
There is a bee in the tea.
There is a bat on the hat.
There is a pup in the cup.
There is a bug on the rug.
There is a fox in the box.
There is a goat on the boat.
There is a bear in the air!",41.0
"This room is clean.
This room is not clean.
This shoe is clean.
This shoe is not clean.
This hand is clean.
This hand is not clean.
This food is clean.
This food is not clean.",-23.0
"My hangers.
My shirts.
My pants.
My dresses.
My shoes.
My belts.
My blankets.
My closet.",23.0
"The guests.
The balloons.
The hats.
The gifts.
The cake.
The singing.
The candles.
The birthday party.",27.0
"The chair.
The desk.
The book.
The paper.
The pencil.
The eraser.
The backpack.
The classroom.",-4.0
"The friends.
The chairs.
The pillows.
The blankets.
The food.
The games.
The lights.
The fort!",-22.0
"The gate.
The mailbox.
The sidewalk.
The fence.
The flowers.
The bike.
The friend.
The street.",-9.0
"My cake.
My cookie.
My cupcake.
My ice cream.
My pie.
My brownie.
My candy.
My belly.",34.0
"What flies in the sky?
A kite flies in the sky.
A bird flies in the sky.
A balloon flies in the sky.
A bee flies in the sky.
A rocket flies in the sky.
A bat flies in the sky.
I wish I could fly in the sky!",-26.0
"I want something to hug.
I want something to feed.
I want something to play with.
I want something to teach.
I want something to dream with.
I want something to read to.
I want something to walk.
I want something to love. I want a dog!",6.0
"Some kids eat cereal for breakfast.
Some kids eat eggs for breakfast.
Some kids eat toast for breakfast.
Some kids eat yogurt for breakfast.
Some kids eat muffins for breakfast.
Some kids eat bacon for breakfast.
Some kids eat fruit for breakfast.
What do you eat for breakfast?",33.0
